Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x, Patient Constant Force, Recovery Factor, Assistance Level
6.38217E+17,-34.4211,25.10819,21.17597,-37.43678,23.68212,19.70509,-95.48556,-44.41134,-29.00699,-101.5674,-48.62947,-35.68188,0.001067912,0.03645099,0.7074195,0.03645099
6.38217E+17,-34.4211,25.10819,21.15262,-37.3661,23.23793,18.79455,-95.45691,-44.43096,-29.04879,-100.4393,-50.27648,-36.81969,0.001067912,0.03949745,0.7108043,0.03949745
6.38217E+17,-34.4211,25.10819,20.91915,-37.3661,21.99889,17.4871,-95.17023,-44.62601,-29.46715,-99.35739,-53.88579,-38.23644,0.001067912,0.04750608,0.7168671,0.04750608
6.38217E+17,-34.7745,25.10819,20.07865,-37.1305,21.11052,16.62325,-94.97999,-45.31104,-31.56185,-98.11982,-56.39843,-38.75579,0.001067912,0.04713804,0.7224033,0.04713804
6.38217E+17,-34.91586,25.13157,19.6117,-36.84778,21.017,16.27304,-94.71886,-45.6307,-32.65376,-97.05728,-56.83232,-38.83616,0.001067912,0.04469062,0.7251161,0.04469062
6.38217E+17,-35.10434,25.45886,18.44434,-36.04674,21.017,15.92284,-93.50055,-45.82778,-35.3336,-94.77633,-57.05832,-38.12511,0.001067912,0.03921621,0.7305281,0.03921621
6.38217E+17,-35.10434,25.66927,17.67388,-35.0101,20.90011,15.78275,-92.39865,-45.9419,-36.9012,-92.28072,-57.40144,-36.60892,0.001067912,0.0378697,0.7357283,0.0378697
6.38217E+17,-35.10434,25.66927,17.27698,-33.78498,20.5962,15.64267,-91.89195,-46.2193,-37.62204,-89.40772,-58.15119,-34.7186,0.001067912,0.04063738,0.740519,0.04063738
6.38217E+17,-35.10434,25.66927,17.25363,-33.07819,20.43255,15.64267,-91.86211,-46.23543,-37.66449,-87.82533,-58.50791,-33.51402,0.001067912,0.04364476,0.7426921,0.04364476
6.38217E+17,-35.08078,25.64589,17.25363,-31.94731,20.15201,15.64267,-91.82191,-46.28447,-37.60745,-85.26688,-59.12031,-31.6148,0.001067912,0.04944002,0.7466066,0.04944002
